Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
6/12/2023,6/12/2023,6/14/2023,LLY,"Eli Lilly
CUSIP: 532457108
order batcher",Buy,0.000226,$442.21 ,($0.10),
6/12/2023,6/12/2023,6/14/2023,XOM,"Exxon Mobil
CUSIP: 30231G102
order batcher",Buy,0.001977,$106.22 ,($0.21),
6/12/2023,6/12/2023,6/13/2023,,ACH Deposit,ACH,,,$500.00 ,
6/9/2023,6/9/2023,6/9/2023,LLY,Cash Div: R/D 2023-05-15 P/D 2023-06-09 - 0.090077 shares at 1.13,CDIV,,,$0.10 ,
6/9/2023,6/9/2023,6/9/2023,XOM,Cash Div: R/D 2023-05-16 P/D 2023-06-09 - 0.226101 shares at 0.91,CDIV,,,$0.21 ,
6/9/2023,6/9/2023,6/13/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.000821,$328.53 ,($0.27),
6/8/2023,6/8/2023,6/8/2023,MSFT,Cash Div: R/D 2023-05-18 P/D 2023-06-08 - 0.395327 shares at 0.68,CDIV,,,$0.27 ,
6/8/2023,6/8/2023,6/12/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,0.000028,$349.15 ,($0.01),
6/8/2023,6/8/2023,6/12/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,0.071574,$349.15 ,($24.99),
6/8/2023,6/8/2023,6/12/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305",Buy,0.001965,$122.12 ,($0.24),
6/8/2023,6/8/2023,6/12/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305",Buy,0.407481,$122.12 ,($49.76),
6/8/2023,6/8/2023,6/12/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100",Buy,0.355441,$140.67 ,($50.00),
6/8/2023,6/8/2023,6/12/2023,UBER,"Uber
CUSIP: 90353T100",Buy,0.637917,$39.19 ,($25.00),
6/8/2023,6/8/2023,6/12/2023,VHT,"Vanguard Health Care ETF
CUSIP: 92204A504",Buy,0.208307,$239.24 ,($49.84),
6/8/2023,6/8/2023,6/12/2023,VHT,"Vanguard Health Care ETF
CUSIP: 92204A504",Buy,0.000668,$239.24 ,($0.16),
6/8/2023,6/8/2023,6/12/2023,VNQ,"Vanguard US REIT fund
CUSIP: 922908553",Buy,0.598874,$83.30 ,($49.89),
6/8/2023,6/8/2023,6/12/2023,VNQ,"Vanguard US REIT fund
CUSIP: 922908553",Buy,0.00132,$83.30 ,($0.11),
6/8/2023,6/8/2023,6/9/2023,,ACH Deposit,ACH,,,$250.00 ,
6/7/2023,6/7/2023,6/9/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104
order batcher",Buy,0.001769,$158.27 ,($0.28),
6/7/2023,6/7/2023,6/9/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.003033,$72.53 ,($0.22),
6/6/2023,6/6/2023,6/6/2023,BND,Cash Div: R/D 2023-06-02 P/D 2023-06-06 - 1.163522 shares at 0.186964,CDIV,,,$0.22 ,
6/6/2023,6/6/2023,6/6/2023,JNJ,Cash Div: R/D 2023-05-23 P/D 2023-06-06 - 0.237941 shares at 1.19,CDIV,,,$0.28 ,
6/5/2023,6/5/2023,6/7/2023,UBER,"Uber
CUSIP: 90353T100",Buy,0.00228,$39.46 ,($0.09),
6/5/2023,6/5/2023,6/7/2023,UBER,"Uber
CUSIP: 90353T100",Buy,0.631313,$39.46 ,($24.91),
6/5/2023,6/5/2023,6/7/2023,V,"Visa
CUSIP: 92826C839",Buy,0.000043,$227.91 ,($0.01),
6/5/2023,6/5/2023,6/7/2023,V,"Visa
CUSIP: 92826C839",Buy,0.109646,$227.91 ,($24.99),
6/5/2023,6/5/2023,6/7/2023,PLNT,"Planet Fitness
CUSIP: 72703H101",Buy,0.315078,$66.65 ,($21.00),
6/5/2023,6/5/2023,6/7/2023,MCD,"McDonald's
CUSIP: 580135101",Buy,0.086206,$290.00 ,($25.00),
6/5/2023,6/5/2023,6/7/2023,MA,"Mastercard
CUSIP: 57636Q104",Buy,0.00016,$372.75 ,($0.06),
6/5/2023,6/5/2023,6/7/2023,MA,"Mastercard
CUSIP: 57636Q104",Buy,0.066914,$372.75 ,($24.94),
6/2/2023,6/2/2023,6/6/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104
order batcher",Buy,0.012777,$156.52 ,($2.00),
6/2/2023,6/2/2023,6/6/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.068728,$72.75 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,TSLA,"Tesla
CUSIP: 88160R101
order batcher",Buy,0.046307,$215.95 ,($10.00),
6/2/2023,6/2/2023,6/6/2023,DUOL,"Duolingo
CUSIP: 26603R106
order batcher",Buy,0.012888,$155.18 ,($2.00),
6/2/2023,6/2/2023,6/6/2023,AMZN,"Amazon
CUSIP: 023135106
order batcher",Buy,0.080237,$124.63 ,($10.00),
6/2/2023,6/2/2023,6/6/2023,NVDA,"NVIDIA
CUSIP: 67066G104
order batcher",Buy,0.012692,$393.93 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.033253,$150.36 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,IAU,"iShares Gold Trust
CUSIP: 464285204
order batcher",Buy,0.135062,$37.02 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.011619,$430.32 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,CIBR,"First Trust NASDAQ Cybersecurity ETF
CUSIP: 33734X846
order batcher",Buy,0.113301,$44.13 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305
order batcher",Buy,0.119913,$125.09 ,($15.00),
6/2/2023,6/2/2023,6/6/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.029905,$334.39 ,($10.00),
6/2/2023,6/2/2023,6/6/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.027693,$180.55 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.092094,$141.16 ,($13.00),
6/2/2023,6/2/2023,6/6/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.01271,$393.39 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,PLD,"Prologis
CUSIP: 74340W103
order batcher",Buy,0.040067,$124.79 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,LLY,"Eli Lilly
CUSIP: 532457108
order batcher",Buy,0.011344,$440.76 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103
order batcher",Buy,0.014078,$355.16 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,USO,"United States Oil Fund
CUSIP: 91232N207
order batcher",Buy,0.078259,$63.89 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.011674,$428.27 ,($5.00),
6/2/2023,6/2/2023,6/6/2023,BAC,"Bank of America
CUSIP: 060505104
order batcher",Buy,0.069108,$28.94 ,($2.00),
6/2/2023,6/2/2023,6/6/2023,COP,"ConocoPhillips
CUSIP: 20825C104
order batcher",Buy,0.000591,$101.48 ,($0.06),
6/1/2023,6/1/2023,6/1/2023,COP,Cash Div: R/D 2023-05-16 P/D 2023-06-01 - 0.114506 shares at 0.51,CDIV,,,$0.06 ,
6/1/2023,6/1/2023,6/2/2023,,ACH Deposit,ACH,,,$250.00 ,
5/19/2023,5/19/2023,5/23/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.000454,$175.97 ,($0.08),
5/18/2023,5/18/2023,5/18/2023,AAPL,Cash Div: R/D 2023-05-15 P/D 2023-05-18 - 0.32097 shares at 0.24,CDIV,,,$0.08 ,
5/9/2023,5/9/2023,5/11/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305",Buy,0.425486,$108.14 ,($46.01),
5/8/2023,5/8/2023,5/10/2023,DUOL,"Duolingo
CUSIP: 26603R106",Buy,0.115517,$129.85 ,($15.00),
5/8/2023,5/8/2023,5/10/2023,XOM,"Exxon Mobil
CUSIP: 30231G102",Buy,0.226101,$110.57 ,($25.00),
5/8/2023,5/8/2023,5/10/2023,ABT,"Abbott
CUSIP: 002824100",Buy,0.1795,$110.46 ,($19.83),
5/8/2023,5/8/2023,5/10/2023,ABT,"Abbott
CUSIP: 002824100",Buy,0.001539,$110.46 ,($0.17),
5/8/2023,5/8/2023,5/10/2023,COP,"ConocoPhillips
CUSIP: 20825C104",Buy,0.114506,$102.09 ,($11.69),
5/8/2023,5/8/2023,5/10/2023,UUGRY,"United Utilities
CUSIP: 91311E102",Buy,1,$28.30 ,($28.30),
5/5/2023,5/5/2023,5/9/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.00271,$73.80 ,($0.20),
5/4/2023,5/4/2023,5/4/2023,BND,Cash Div: R/D 2023-05-02 P/D 2023-05-04 - 1.093062 shares at 0.179745,CDIV,,,$0.20 ,
5/2/2023,5/2/2023,5/4/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104
order batcher",Buy,0.030402,$164.46 ,($5.00),
5/2/2023,5/2/2023,5/4/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.06775,$73.80 ,($5.00),
5/2/2023,5/2/2023,5/4/2023,TSLA,"Tesla
CUSIP: 88160R101
order batcher",Buy,0.061927,$161.48 ,($10.00),
5/2/2023,5/2/2023,5/4/2023,DUOL,"Duolingo
CUSIP: 26603R106
order batcher",Buy,0.016052,$124.59 ,($2.00),
5/2/2023,5/2/2023,5/4/2023,USO,"United States Oil Fund
CUSIP: 91232N207
order batcher",Buy,0.078864,$63.40 ,($5.00),
5/2/2023,5/2/2023,5/4/2023,NVDA,"NVIDIA
CUSIP: 67066G104
order batcher",Buy,0.017644,$283.37 ,($5.00),
5/2/2023,5/2/2023,5/4/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.034043,$146.87 ,($5.00),
5/2/2023,5/2/2023,5/4/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.012188,$410.22 ,($5.00),
5/2/2023,5/2/2023,5/4/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305
order batcher",Buy,0.09475,$105.54 ,($10.00),
5/2/2023,5/2/2023,5/4/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.03269,$305.90 ,($10.00),
5/2/2023,5/2/2023,5/4/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.029627,$168.76 ,($5.00),
5/2/2023,5/2/2023,5/4/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.072124,$138.65 ,($10.00),
5/2/2023,5/2/2023,5/4/2023,PLD,"Prologis
CUSIP: 74340W103
order batcher",Buy,0.016317,$122.57 ,($2.00),
5/2/2023,5/2/2023,5/4/2023,LLY,"Eli Lilly
CUSIP: 532457108
order batcher",Buy,0.007478,$401.14 ,($3.00),
5/2/2023,5/2/2023,5/4/2023,AMZN,"Amazon
CUSIP: 023135106
order batcher",Buy,0.096683,$103.43 ,($10.00),
5/2/2023,5/2/2023,5/4/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.004577,$436.91 ,($2.00),
5/2/2023,5/2/2023,5/4/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.013264,$376.94 ,($5.00),
5/2/2023,5/2/2023,5/4/2023,BAC,"Bank of America
CUSIP: 060505104
order batcher",Buy,0.178762,$27.97 ,($5.00),
5/2/2023,5/2/2023,5/4/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.003146,$139.82 ,($0.44),
5/1/2023,5/1/2023,5/1/2023,JPM,Cash Div: R/D 2023-04-06 P/D 2023-05-01 - 0.443237 shares at 1,CDIV,,,$0.44 ,
5/1/2023,5/1/2023,5/3/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.000192,$416.16 ,($0.08),
5/1/2023,5/1/2023,5/1/2023,,ACH Deposit,ACH,,,$250.00 ,
4/28/2023,4/28/2023,4/28/2023,SPY,Cash Div: R/D 2023-03-20 P/D 2023-04-28 - 0.051025 shares at 1.506204,CDIV,,,$0.08 ,
4/19/2023,4/19/2023,4/21/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.000113,$438.92 ,($0.05),
4/18/2023,4/18/2023,4/18/2023,INTU,Cash Div: R/D 2023-04-10 P/D 2023-04-18 - 0.069958 shares at 0.78,CDIV,,,$0.05 ,
4/17/2023,4/17/2023,4/19/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,0.555852,$318.19 ,($176.87),
4/17/2023,4/17/2023,4/19/2023,QQQ,"Invesco QQQ
CUSIP: 46090E103",Buy,0.000408,$318.19 ,($0.13),
4/17/2023,4/17/2023,4/19/2023,TSM,"Taiwan Semiconductor Manufacturing
CUSIP: 874039100",Buy,1.023483,$87.75 ,($89.81),
4/17/2023,4/17/2023,4/19/2023,TSM,"Taiwan Semiconductor Manufacturing
CUSIP: 874039100",Buy,0.002165,$87.75 ,($0.19),
4/14/2023,4/14/2023,4/18/2023,UNH,"UnitedHealth
CUSIP: 91324P102",Buy,0.048806,$512.23 ,($25.00),
4/10/2023,4/10/2023,4/12/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.002572,$73.87 ,($0.19),
4/6/2023,4/6/2023,4/6/2023,BND,Cash Div: R/D 2023-04-04 P/D 2023-04-06 - 1.022813 shares at 0.182803,CDIV,,,$0.19 ,
4/3/2023,4/3/2023,4/5/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104
order batcher",Buy,0.031942,$156.53 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.067677,$73.88 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,DUOL,"Duolingo
CUSIP: 26603R106
order batcher",Buy,0.014066,$142.18 ,($2.00),
4/3/2023,4/3/2023,4/5/2023,USO,"United States Oil Fund
CUSIP: 91232N207
order batcher",Buy,0.071204,$70.22 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,AMZN,"Amazon
CUSIP: 023135106
order batcher",Buy,0.098299,$101.73 ,($10.00),
4/3/2023,4/3/2023,4/5/2023,NVDA,"NVIDIA
CUSIP: 67066G104
order batcher",Buy,0.018222,$274.39 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.034148,$146.42 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.012213,$409.39 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.004564,$438.21 ,($2.00),
4/3/2023,4/3/2023,4/5/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305
order batcher",Buy,0.097125,$102.96 ,($10.00),
4/3/2023,4/3/2023,4/5/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.035159,$284.42 ,($10.00),
4/3/2023,4/3/2023,4/5/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.030391,$164.52 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.076858,$130.11 ,($10.00),
4/3/2023,4/3/2023,4/5/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.013303,$375.85 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,PLD,"Prologis
CUSIP: 74340W103
order batcher",Buy,0.016178,$123.62 ,($2.00),
4/3/2023,4/3/2023,4/5/2023,LLY,"Eli Lilly
CUSIP: 532457108
order batcher",Buy,0.008573,$349.90 ,($3.00),
4/3/2023,4/3/2023,4/5/2023,TSLA,"Tesla
CUSIP: 88160R101
order batcher",Buy,0.051717,$193.36 ,($10.00),
4/3/2023,4/3/2023,4/5/2023,BAC,"Bank of America
CUSIP: 060505104
order batcher",Buy,0.175685,$28.46 ,($5.00),
4/3/2023,4/3/2023,4/5/2023,PLD,"Prologis
CUSIP: 74340W103
order batcher",Buy,0.000556,$125.80 ,($0.07),
