Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
4/3/2023,4/3/2023,4/5/2023,BAC,"Bank of America
CUSIP: 060505104
order batcher",Buy,0.006927,$28.87 ,($0.20),
4/3/2023,4/3/2023,4/3/2023,,ACH Deposit,ACH,,,$250.00 ,
3/31/2023,3/31/2023,3/31/2023,BAC,Cash Div: R/D 2023-03-03 P/D 2023-03-31 - 0.888982 shares at 0.22,CDIV,,,$0.20 ,
3/31/2023,3/31/2023,3/31/2023,PLD,Cash Div: R/D 2023-03-17 P/D 2023-03-31 - 0.074883 shares at 0.87,CDIV,,,$0.07 ,
3/30/2023,3/30/2023,4/3/2023,NVDA,"NVIDIA
CUSIP: 67066G104
order batcher",Buy,0.000036,$273.94 ,($0.01),
3/30/2023,3/30/2023,4/3/2023,VHT,"Vanguard Health Care ETF
CUSIP: 92204A504
order batcher",Buy,0.00034,$235.07 ,($0.08),
3/30/2023,3/30/2023,4/3/2023,VNQ,"Vanguard US REIT fund
CUSIP: 922908553
order batcher",Buy,0.00271,$81.18 ,($0.22),
3/30/2023,3/30/2023,4/3/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.000965,$145.02 ,($0.14),
3/30/2023,3/30/2023,4/3/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.000512,$371.07 ,($0.19),
3/29/2023,3/29/2023,3/29/2023,VHT,Cash Div: R/D 2023-03-27 P/D 2023-03-29 - 0.103024 shares at 0.7586,CDIV,,,$0.08 ,
3/29/2023,3/29/2023,3/29/2023,VNQ,Cash Div: R/D 2023-03-27 P/D 2023-03-29 - 0.279626 shares at 0.77,CDIV,,,$0.22 ,
3/29/2023,3/29/2023,3/29/2023,VOOV,Cash Div: R/D 2023-03-27 P/D 2023-03-29 - 0.244814 shares at 0.5604,CDIV,,,$0.14 ,
3/29/2023,3/29/2023,3/29/2023,NVDA,Cash Div: R/D 2023-03-08 P/D 2023-03-29 - 0.215195 shares at 0.04,CDIV,,,$0.01 ,
3/29/2023,3/29/2023,3/29/2023,VOO,Cash Div: R/D 2023-03-27 P/D 2023-03-29 - 0.126575 shares at 1.4874,CDIV,,,$0.19 ,
3/29/2023,3/29/2023,3/31/2023,VTI,"Vanguard Total Stock Market ETF
CUSIP: 922908769
order batcher",Buy,0.00015,$199.10 ,($0.03),
3/28/2023,3/28/2023,3/28/2023,VTI,Cash Div: R/D 2023-03-24 P/D 2023-03-28 - 0.034093 shares at 0.7862,CDIV,,,$0.03 ,
3/24/2023,3/24/2023,3/28/2023,VEA,"Vanguard FTSE Developed Markets ETF
CUSIP: 921943858
order batcher",Buy,0.000693,$43.25 ,($0.03),
3/24/2023,3/24/2023,3/28/2023,VXUS,"Vanguard Total International Stock ETF
CUSIP: 921909768
order batcher",Buy,0.00094,$53.14 ,($0.05),
3/23/2023,3/23/2023,3/23/2023,VXUS,Cash Div: R/D 2023-03-21 P/D 2023-03-23 - 0.453103 shares at 0.1205,CDIV,,,$0.05 ,
3/23/2023,3/23/2023,3/23/2023,VEA,Cash Div: R/D 2023-03-21 P/D 2023-03-23 - 0.167308 shares at 0.1597,CDIV,,,$0.03 ,
3/13/2023,3/13/2023,3/15/2023,LLY,"Eli Lilly
CUSIP: 532457108
order batcher",Buy,0.000213,$328.58 ,($0.07),
3/10/2023,3/10/2023,3/10/2023,LLY,Cash Div: R/D 2023-02-15 P/D 2023-03-10 - 0.064209 shares at 1.13,CDIV,,,$0.07 ,
3/10/2023,3/10/2023,3/14/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.00076,$249.73 ,($0.19),
3/9/2023,3/9/2023,3/9/2023,MSFT,Cash Div: R/D 2023-02-16 P/D 2023-03-09 - 0.286259 shares at 0.68,CDIV,,,$0.19 ,
3/8/2023,3/8/2023,3/10/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104
order batcher",Buy,0.001045,$153.11 ,($0.16),
3/7/2023,3/7/2023,3/7/2023,JNJ,Cash Div: R/D 2023-02-21 P/D 2023-03-07 - 0.141584 shares at 1.13,CDIV,,,$0.16 ,
3/7/2023,3/7/2023,3/9/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.002231,$71.70 ,($0.16),
3/6/2023,3/6/2023,3/6/2023,BND,Cash Div: R/D 2023-03-02 P/D 2023-03-06 - 0.950397 shares at 0.164216,CDIV,,,$0.16 ,
3/2/2023,3/2/2023,3/6/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104
order batcher",Buy,0.032968,$151.66 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.070185,$71.24 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,DUOL,"Duolingo
CUSIP: 26603R106
order batcher",Buy,0.016823,$118.88 ,($2.00),
3/2/2023,3/2/2023,3/6/2023,USO,"United States Oil Fund
CUSIP: 91232N207
order batcher",Buy,0.073389,$68.13 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,AMZN,"Amazon
CUSIP: 023135106
order batcher",Buy,0.110156,$90.78 ,($10.00),
3/2/2023,3/2/2023,3/6/2023,NVDA,"NVIDIA
CUSIP: 67066G104
order batcher",Buy,0.021942,$227.87 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.034592,$144.54 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.012686,$394.13 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.005057,$395.49 ,($2.00),
3/2/2023,3/2/2023,3/6/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305
order batcher",Buy,0.110277,$90.68 ,($10.00),
3/2/2023,3/2/2023,3/6/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.040459,$247.16 ,($10.00),
3/2/2023,3/2/2023,3/6/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.034585,$144.57 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.071296,$140.26 ,($10.00),
3/2/2023,3/2/2023,3/6/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.013807,$362.12 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,PLD,"Prologis
CUSIP: 74340W103
order batcher",Buy,0.016291,$122.76 ,($2.00),
3/2/2023,3/2/2023,3/6/2023,LLY,"Eli Lilly
CUSIP: 532457108
order batcher",Buy,0.009604,$312.36 ,($3.00),
3/2/2023,3/2/2023,3/6/2023,TSLA,"Tesla
CUSIP: 88160R101
order batcher",Buy,0.052637,$189.98 ,($10.00),
3/2/2023,3/2/2023,3/6/2023,BAC,"Bank of America
CUSIP: 060505104
order batcher",Buy,0.150829,$33.15 ,($5.00),
3/1/2023,3/1/2023,3/1/2023,,ACH Deposit,ACH,,,$250.00 ,
2/17/2023,2/17/2023,2/22/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.000328,$152.29 ,($0.05),
2/16/2023,2/16/2023,2/16/2023,AAPL,Cash Div: R/D 2023-02-13 P/D 2023-02-16 - 0.226039 shares at 0.23,CDIV,,,$0.05 ,
2/10/2023,2/10/2023,2/14/2023,LIT,"Global X Lithium & Battery Tech ETF
CUSIP: 37954Y855",Buy,0.314504,$67.98 ,($21.38),
2/10/2023,2/10/2023,2/14/2023,VXUS,"Vanguard Total International Stock ETF
CUSIP: 921909768",Buy,0.453103,$55.18 ,($25.00),
2/10/2023,2/10/2023,2/14/2023,IAU,"iShares Gold Trust
CUSIP: 464285204",Buy,0.708516,$35.28 ,($25.00),
2/10/2023,2/10/2023,2/14/2023,CIBR,"First Trust NASDAQ Cybersecurity ETF
CUSIP: 33734X846",Buy,0.60584,$41.26 ,($25.00),
2/10/2023,2/10/2023,2/14/2023,VHT,"Vanguard Health Care ETF
CUSIP: 92204A504",Buy,0.103024,$242.66 ,($25.00),
2/10/2023,2/10/2023,2/14/2023,VNQ,"Vanguard US REIT fund
CUSIP: 922908553",Buy,0.279626,$89.40 ,($25.00),
2/7/2023,2/7/2023,2/9/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.002043,$73.42 ,($0.15),
2/6/2023,2/6/2023,2/6/2023,BND,Cash Div: R/D 2023-02-02 P/D 2023-02-06 - 0.880778 shares at 0.175962,CDIV,,,$0.15 ,
2/3/2023,2/3/2023,2/7/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104
order batcher",Buy,0.03043,$164.31 ,($5.00),
2/3/2023,2/3/2023,2/7/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.067576,$73.99 ,($5.00),
2/3/2023,2/3/2023,2/7/2023,TSLA,"Tesla
CUSIP: 88160R101
order batcher",Buy,0.052485,$190.53 ,($10.00),
2/3/2023,2/3/2023,2/7/2023,DUOL,"Duolingo
CUSIP: 26603R106
order batcher",Buy,0.020222,$98.90 ,($2.00),
2/3/2023,2/3/2023,2/7/2023,USO,"United States Oil Fund
CUSIP: 91232N207
order batcher",Buy,0.076911,$65.01 ,($5.00),
2/3/2023,2/3/2023,2/7/2023,AMZN,"Amazon
CUSIP: 023135106
order batcher",Buy,0.09521,$105.03 ,($10.00),
2/3/2023,2/3/2023,2/7/2023,NVDA,"NVIDIA
CUSIP: 67066G104
order batcher",Buy,0.023531,$212.48 ,($5.00),
2/3/2023,2/3/2023,2/7/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.032909,$151.93 ,($5.00),
2/3/2023,2/3/2023,2/7/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.012113,$412.75 ,($5.00),
2/3/2023,2/3/2023,2/7/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.004676,$427.69 ,($2.00),
2/3/2023,2/3/2023,2/7/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305
order batcher",Buy,0.095356,$104.87 ,($10.00),
2/3/2023,2/3/2023,2/7/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.03865,$258.73 ,($10.00),
2/3/2023,2/3/2023,2/7/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.032312,$154.74 ,($5.00),
2/3/2023,2/3/2023,2/7/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.071063,$140.72 ,($10.00),
2/3/2023,2/3/2023,2/7/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.013189,$379.10 ,($5.00),
2/3/2023,2/3/2023,2/7/2023,PLD,"Prologis
CUSIP: 74340W103
order batcher",Buy,0.015366,$130.15 ,($2.00),
2/3/2023,2/3/2023,2/7/2023,LLY,"Eli Lilly
CUSIP: 532457108
order batcher",Buy,0.008795,$341.07 ,($3.00),
2/3/2023,2/3/2023,2/7/2023,BAC,"Bank of America
CUSIP: 060505104
order batcher",Buy,0.1374,$36.39 ,($5.00),
2/1/2023,2/1/2023,2/3/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.001575,$139.61 ,($0.22),
2/1/2023,2/1/2023,2/1/2023,,ACH Deposit,ACH,,,$250.00 ,
1/31/2023,1/31/2023,1/31/2023,JPM,Cash Div: R/D 2023-01-06 P/D 2023-01-31 - 0.222445 shares at 1,CDIV,,,$0.22 ,
1/19/2023,1/19/2023,1/23/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.000103,$386.63 ,($0.04),
1/18/2023,1/18/2023,1/18/2023,INTU,Cash Div: R/D 2023-01-10 P/D 2023-01-18 - 0.055558 shares at 0.78,CDIV,,,$0.04 ,
1/5/2023,1/5/2023,1/9/2023,DUOL,"Duolingo
CUSIP: 26603R106",Buy,0.000279,$71.62 ,($0.02),
1/5/2023,1/5/2023,1/9/2023,DUOL,"Duolingo
CUSIP: 26603R106",Buy,0.05557,$71.62 ,($3.98),
1/5/2023,1/5/2023,1/9/2023,PLD,"Prologis
CUSIP: 74340W103",Buy,0.043226,$115.67 ,($5.00),
1/5/2023,1/5/2023,1/9/2023,LLY,"Eli Lilly
CUSIP: 532457108",Buy,0.000083,$360.95 ,($0.03),
1/5/2023,1/5/2023,1/9/2023,LLY,"Eli Lilly
CUSIP: 532457108",Buy,0.055331,$360.95 ,($19.97),
1/4/2023,1/4/2023,1/6/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104",Buy,0.111154,$179.93 ,($20.00),
1/3/2023,1/3/2023,1/5/2023,TSLA,"Tesla
CUSIP: 88160R101
order batcher",Buy,0.094867,$105.41 ,($10.00),
1/3/2023,1/3/2023,1/5/2023,USO,"United States Oil Fund
CUSIP: 91232N207
order batcher",Buy,0.073238,$68.27 ,($5.00),
1/3/2023,1/3/2023,1/5/2023,AMZN,"Amazon
CUSIP: 023135106
order batcher",Buy,0.11773,$84.94 ,($10.00),
1/3/2023,1/3/2023,1/5/2023,NVDA,"NVIDIA
CUSIP: 67066G104
order batcher",Buy,0.03508,$142.53 ,($5.00),
1/3/2023,1/3/2023,1/5/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.03567,$140.17 ,($5.00),
1/3/2023,1/3/2023,1/5/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.013176,$379.47 ,($5.00),
1/3/2023,1/3/2023,1/5/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.005143,$388.87 ,($2.00),
1/3/2023,1/3/2023,1/5/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305
order batcher",Buy,0.112435,$88.94 ,($10.00),
1/3/2023,1/3/2023,1/5/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.040109,$124.66 ,($5.00),
1/3/2023,1/3/2023,1/5/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.014338,$348.72 ,($5.00),
1/3/2023,1/3/2023,1/5/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.069204,$72.25 ,($5.00),
1/3/2023,1/3/2023,1/5/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.041941,$238.43 ,($10.00),
1/3/2023,1/3/2023,1/5/2023,BAC,"Bank of America
CUSIP: 060505104
order batcher",Buy,0.149655,$33.41 ,($5.00),
1/3/2023,1/3/2023,1/5/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.074476,$134.27 ,($10.00),
1/3/2023,1/3/2023,1/5/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,0.000845,$118.33 ,($0.10),
1/3/2023,1/3/2023,1/5/2023,AAPL,"Apple
CUSIP: 037833100",Buy,0.001075,$130.21 ,($0.14),
1/3/2023,1/3/2023,1/5/2023,INTU,"Intuit
CUSIP: 461202103",Buy,0.050415,$396.70 ,($20.00),
1/3/2023,1/3/2023,1/5/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,0.168137,$118.33 ,($19.90),
1/3/2023,1/3/2023,1/5/2023,MSFT,"Microsoft
CUSIP: 594918104",Buy,0.205668,$243.11 ,($50.00),
1/3/2023,1/3/2023,1/5/2023,BAC,"Bank of America
CUSIP: 060505104",Buy,0.59952,$33.23 ,($19.92),
1/3/2023,1/3/2023,1/5/2023,BAC,"Bank of America
CUSIP: 060505104",Buy,0.002407,$33.23 ,($0.08),
1/3/2023,1/3/2023,1/5/2023,AAPL,"Apple
CUSIP: 037833100",Buy,0.152543,$130.21 ,($19.86),
1/3/2023,1/3/2023,1/5/2023,AMZN,"Amazon
CUSIP: 023135106",Buy,0.233945,$85.49 ,($20.00),
1/3/2023,1/3/2023,1/5/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,0.000202,$148.51 ,($0.03),
1/3/2023,1/3/2023,1/5/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,0.13444,$148.51 ,($19.97),
1/3/2023,1/3/2023,1/5/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703",Buy,0.141643,$141.20 ,($20.00),
1/3/2023,1/3/2023,1/5/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100",Buy,0.000073,$135.16 ,($0.01),
1/3/2023,1/3/2023,1/5/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100",Buy,0.147896,$135.16 ,($19.99),
1/3/2023,1/3/2023,1/3/2023,,ACH Deposit,ACH,,,$100.00 ,
1/3/2023,1/3/2023,1/3/2023,,ACH Deposit,ACH,,,$250.00 ,
,,,,,,,,,
,,,,,,,,, 
